Teks_Komentar,teks_final
Thanks ya bro. Makasih udah jadi gardu depan. Makasih udah tetap setia sama rakyat untuk Indonesia lebih baik. Gw yang pernah berkarir politik di masa muda dan cabut karena lihat kekotoran dibalik itu merasa tergugah. Hati yang Apatis ini pengen berteriak dan bilang.  Makasih. I stand with you😊,thanks terima kasih gardu terima kasih setia rakyat indonesia gue berkarir politik muda cabut lihat kotor gugah hati apatis pengin teriak bilang terima kasih stand youwajahtersenyumdenganmatabahagia
Aku aja dah kabur karna dinegaraku sendiri tidak merasakan kemakmuran,deh kabur negara makmur
"Keadilan, quality of life, susahx bangun bisnis krn regulasi yg mbulet dan ruwet hal"" itulah yg membuat orang"" memutuskan perubahan secara individu. Lha wong nunggu pemerintah melakukan perubahan yg ada bukan menjadi lebih haik tp makin buruk dan terpuruk.",adil quality life susahx bangun bisnis regulasi mbulet ruwet orang putus ubah individu tunggu perintah laku ubah haik buruk puruk
2014 melek politik smpe skrg cara curang para iblis sama,melek politik curang iblis
"Betul kepuasan pada pemerintah  itu 80%, tapi khusus untuk para pejabat terutama para mentrinya.",puas perintah khusus jabat utama tri
"Jaman pra kemerdekaan, orang2 yg sekolah keluar negeri, pulang memperjuangkan kemerdekaan dg cara yg lebih strategik.",jaman pra merdeka orangorang sekolah negeri pulang juang merdeka strategik
Logikanya sih bener survei 80% kenapa pada kabur aja dulu.😂😂😂,logika survei kabur duluwajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmata
KABUR AJA DULU KE YORDANIA...  kali aja balik2 minimal jadi KADES lahhh.. 😊..,kabur yordania kali minimal kades wajahtersenyumdenganmatabahagia
"Endingnya adalah harapan kita bersama, Ustadz Felix dan Ko Raymond, kalian sudah ada bekal punya 'nama', punya wadah yang lumayan besar untuk menyampaikan aspirasi dan memulai 'pergerakan' lewat channel kalian. Pliss kuat-kuat ya kalian - kita juga, untuk berada di barisan rakyat (semoga nggak kena kayak yang lainnya 😅, karena dijadiin stafsus endingnya jadi nggak bisa netral dan bersuara lantang mengkritik yang harus dikritik iykwim, wkwk). Last but not least “kalau mau hidup susah, ayo kita fight bareng” Bismillah yuk!",endingnya harap ustadz felix raymond bekal nama wadah lumayan aspirasi gera channel plis kuatkuat baris rakyat moga kena kayak wajahtersenyumlebardanberkeringat stafsus endingnya netral suara lantang kritik kritik iykwim last least hidup susah ayo fight bareng bismillah yuk
Kebenaran adalah kejahatan yang nyata bagi pemerintah,jahat nyata perintah
"BUTUH PEMBANDING untuk merasakan indahnya berada dalam situasi daily life nyaman, kepastian hukum yang adil, keamanan, untuk bisa membuat kita complain dengan apa yang kita rasakan di Indonesia SAAT INI.  dan BUTUH KECERDASAN untuk menganalisa bahwa seharusnya kita sebagai rakyat di negri yang kaya, BERHAK DAPAT YANG LEBIH BAIK.  masalahnya di Indonesia, yg punya kesempatan untuk mencicipi pembanding dan punya kecakakapan ilmu untuk menagih haknya NGGAK BANYAK. semua penderitaan dianggap lumrah, BLT dianggap berkah dan yang complain dianggap BERISIK. Menyedihkan sebetulnya, kita cinta negerinya, tp negeri yang mayoritas rakyatnya dibuat bodoh dan dibuat gabisa membandingkan ini, seperti dikerdilkan situasi.",butuh banding indah situasi daily life nyaman hukum adil aman complain indonesia butuh cerdas menganalisa rakyat negeri kayak hak indonesia cicip banding kecakakapan ilmu tagih hak derita anggap lumrah blt anggap berkah complain anggap berisik sedih cinta negeri negeri mayoritas rakyat bodoh banding kerdil situasi
"sorry, gw lebih kecewa dengan pemilih 2014 dan 2019. dulu gw di kata2in orang sdm rendah, orang ini itu. skrg kalian baru sadar dan menyalahkan pemerintah baru.   SALAHIN DIRI LU YANG MILIH DIA DULU. INI SEMUA GARA2 KALIAN.",sorry gue kecewa pilih gue katain orang sdm rendah orang sadar salah perintah salah pilih garagara
Keren ❤ lanjutkan perjuangan kalian . Saya resah dengan keadaan kita disini tp saya juga salah satu yg gk bs kabur dr sini. Sya hanya bs bantu doa  smoga kalian berdua selalu dlm lindungan Allah. Amin ya rabbal alamin,keren juang resah salah kabur bantu doa moga lindung allah rabbal alamin
"Bang Raymond.....fenomena kabur aja dulu kok aku berfikir nya ini penarikan productive people oleh negara-negara depopulasi seperti eropa, jepang dll (kejauhan ya mikir nya🤔), jadi fenomena ini kaya yang di goreng sama mereka yang butuh orang-orang produktif, buktinya duta besar Jepang gercep banget merespon fenomena ini.  Saya pun sangat tidak suka dengan kondisi negara kita saat ini, tapi bukan kah sebaik nya kita semua perbaiki hal-hal yang Salah di negara ini, mungkin tidak mudah, tapi pasti bisa jika dilakukan bersama-sama, dengan cara yang baik tentunya.  Tapi kembali lagi sih, jika ingin meningkatkan taraf hidup yang lebih baik Dan satu-satunya cara adalah dengan bekerja di luar negeri ya silahkan......hanya saya Masih percaya bahwa kita Masih bisa meningkatkan taraf hidup yang lebih baik di Indonesia, kuncinya dengan ilmu.  Terakhir, doa saya tetap yang terbaik untuk Indonesia Dan pemuda pemudi nya serta seluruh rakyat Indonesia, semoga juga pejabat-pejabat yang dzalim segera bertaubat.",raymondfenomena kabur pikir tari productive people negaranegara depopulasi eropa jepang dl mikir nyawajahberpikir fenomena kayak goreng butuh orangorang produktif bukti duta jepang gercep banget merespon fenomena suka kondisi negara kah halhal salah negara mudah laku bersamasama tingkat taraf hidup satusatunya kerja negeri silakanhanya percaya tingkat taraf hidup indonesia kunci ilmu doa indonesia pemuda pemudi rakyat indonesia moga pejabatpejabat dzalim taubat
Setuju banget...kabur aja itu mungkin bisa solusi jangka pendek. Kita harus benahi semua agar anak cucu kita bisa hidup berkah,tuju bangetkabur solusi jangka pendek benah anak cucu hidup berkah
Ya benar banget mempersatukan orang baik itu sulit sekali.. tapi bukan berarti tidak bisa... Terus berjuang bersama untuk mempersatukan orang baik untuk merubah sistem yang rusak di negeri ini .. fokus pada ini.. semoga Allah mudahkan kita segera bersatu untuk wujudkan sistem yang baik di negeri ini ...,banget orang sulit arti juang orang rubah sistem rusak negeri fokus moga allah mudah wujud sistem negeri
"Kepala Penguasa dan tangan kanannya dikonoha mirip dengan usia bokap gw dan dedek gw. Bokap gw Uda pensiun Krn sakit komplikasi. Dedek gw mash plengak plengok sana sini Krn blm pernah seuntuhnya turun tangan bekerja sepenuhnya. Basi bila keadaan sekarang sesumbar hny bisa omon omon dan janji palsu doank tp kenyataannya beda dilapangan. Pakelh ndasmu bila mau pidato bl ndasmu masih normal dengan usia begitu. Lah bokap gw jg seusia begitu malah makin bijaksana dan beretika bl diskusi bareng gw ttg sst yg isinya daging poll buat nyari solusi dipekerjaan, bukan hny omon omon omon saja tanpa logika dan etika 😂😂😂....baaaassiiii pollll, ingat umur Uda bau tanaaaah. Bolehkah Test IQ kalian dihadapan masyarakat konoha?????? 😂😂😂",kepala kuasa tangan kanan dikonoha usia bokap gue adek gue bokap gue pensiun sakit komplikasi adek gue mash plengak plengok seuntuhnya turun tangan kerja sepenuh basi sesumbar omon omon janji palsu doang nyata beda lapang pakelh ndasmu pidato bl ndasmu normal usia bokap gue usia bijaksana etika bl diskusi bareng gue sst isi daging pol cari solusi kerja omon omon omon logika etika wajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatabaaaassi pol umur bau tanaaaah test iq hadap masyarakat konoha wajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmata
"Saya kurang setuju klo dibandginnya dengan turki. setau saya oposisi di turki dibungkam semua sama presiden sekarang. klo pengen sprti turki, brrti oposisi harus dibungkam dong😅. kemudian soal tagar kabur aja dlu sebenernya g ada kaitannya dengan nasionalisme, selama orang tersebut statusnya msh WNI. toh mereka yg keluar negeri jg nsgh kontribusi ke negara, salah satunya devisa. emang rada aneh aja menteri yg bilng kaburajadlu nasionalismenya dipertanyakan 😅",tuju dibandginnya turki oposisi turki bungkam presiden pengin turki arti oposisi bungkam dongwajahtersenyumlebardanberkeringat tagar kabur kait nasionalisme orang status wni negeri nsgh kontribusi negara salah devisa rada aneh menteri bilang kaburajadlu nasionalisme wajahtersenyumlebardanberkeringat
"Kok bukan orang-orang di tayangan ini sih yg jd stafsus kepemerintahan, seenggaknya bisa menyumbang otak yg berfungsi, Barakallah ko Felix sama ko Ray",orangorang tayang stafsus perintah sumbang otak fungsi barakallah felix ray
"Aroo,kabur2dasar penakut,ujan  emas di negeri orang",arokaburdasar penakutujan emas negeri orang
"maksud ko felix itu luhut, opung benalu dipemerintahan hati nya gelap dan busuk persis mulyono wkkwk yang terang keponakan nya",maksud felix luhut opung benalu perintah hati gelap busuk persis mulyono terang keponakan
"kalau kabur aja dibilang ga nasionalis, apakabar aparat pejabat yang korup? mentri sdm rendah gak bisa bedain nasionalis ama muak",kabur bilang nasionalis apakabar aparat jabat korup tri sdm rendah beda nasionalis muak
Saya seorang guru. Saya tidak memilih kabur aja dulu. Karena saya punya tanggung jawab atas generasi. Semoga generasi yang kubdidik menjadi warganegara yang baik.,orang guru pilih kabur tanggung generasi moga generasi kubdidik warganegara
Singapore taiwan bangun siang,singapore taiwan bangun siang
Sayangnya susah sekali membuat orang2 di daerah ku melek seperti kalian. Semoga aku bisa membuat pemahaman kalian sampe di sekitarku. Amin..,sayang susah orangorang daerah ku melek moga paham
"Sebenarnya kekuatan besar suatu negara itu di rakyatnya,tapi kenapa kok kita diombang ambingkan oleh pemerintah ya..? Seandainya kalo' seluruh rakyat negri ini kompak bersama sama tidak lagi membayar pajak,gimana ya nasib para pejabat² negri in,ya..?",kuat negara rakyatnyatapi diombang ambing perintah rakyat negeri kompak bayar pajakbagaimana nasib jabat negeri iniya
Tdk bisa dibayangkan bagaimana didikan guru2 ngaji koh felix..hingga dia mampu bertahan sampai sejauh ini,bayang dik guru aji koh felixhingga tahan
Ngaji yang bisa menjadikan koh felix mampu bertahan sampai sejauh ini. Ngaji islam mulai akar hingga daun.,aji koh felix tahan aji islam akar daun
"""Setiap kita yang lahir punya beban peradaban"" sungguh perlu dihighlight",lahir beban adab sungguh dihighlight
"Mnrtku emang gelap banget dah... coba liat itu pejabat2nya!! Tiap buat statement sll kek orng tolol.. isu soal ini aja misalnya, bilangnya ""ah yg kabur gak cinta tanah air"", atau yg lbh parah ""ya pergi aja jgn balik"" dan statement2 konyol lainnya. Dr situ aja bnr2 gelap dah nasib rakyat, kualitas pejabatnya terliat dr mulutnya.. masak seorng pejabat ngomong kek gitu soal rakyat?? Ngomong kek seenak jidad dewek, terliat jelas mereka gak peduli soal rakyat. Harusnya jk mereka pejabat yg BENAR hrsnya mikir! Ada apa ini, knp rakyat bs bnyk yg kabur, apa mslhnya.. lalu ktk dah tau mslhnya ya mencari solusinya! Lalu menghimbau rakyat utk lbh mau kerja dinegara sndri dgn solusi2 yg ada... HARUSNYA GITU. Tiap ad mslh itu kudu dicari mslhnya apa dan cari solusinya dan kerjakan.. bukan asal ngoceh tanpa ngapa2in. Bnyk loh smnjk era mulyono kualitas pejabat2 kt kek seenak jidad semua.. migor langka bilangnya ngerebus dulu, beras langka disuruh makan belalang dulu, sayur langka disuruh nanam sndri, duit makan siang gratis minim disuruh rakyat yg patungan, dan bnyk lagi..lbh parah sll berbohong kpd rakyat, dgn bilang ekonomi membaik, pekerjaan bnyk, duit bnyk dll..  Sumpah gedeg sejengkel2nya aku liat pejabat2 negara ini.. mereka sll kencari kesenangan dan keuntungan sebesar2nya sbgi pejabat tpi kerugian dan kesialan ditimpakan ke rakyat. Kan tai.",mnrtku gelap banget deh coba lihat jabat statement kayak orang tolol isu bilang ah kabur cinta tanah air parah pergi statement konyol situ benarbenar gelap deh nasib rakyat kualitas jabat liat mulut masak seorng jabat omong kayak rakyat omong kayak enak jidat dewek liat peduli rakyat jabat mikir rakyat kabur ktk deh cari solusi menghimbau rakyat kerja negara solusi kudu cari cari solusi kerja oceh ngapain loh smnjk era mulyono kualitas jabat kayak enak jidat migor langka bilang ngerebus beras langka suruh makan belalang sayur langka suruh nanam duit makan siang gratis minim suruh rakyat patungan lagilebih parah bohong rakyat bilang ekonomi kerja duit dl sumpah gedek jengkel lihat jabat negara kencar senang untung sbgi jabat rugi sial timpa rakyat tahi
"menit 14:30, pengen kabur tp ga punya modal, ga punya koneksi, nekat kabur aja malah jadi masalah baru",menit pengin kabur modal koneksi nekat kabur
Dulu PRABOWO 1998 juga KABUR AJA DULU ke Yordania  ! Sekarang PRABOWO jadi PRESIDEN,prabowo kabur yordania prabowo presiden
"Kalau diluar negeri umur 70 th saja masih kerja,selagi dia kuat,persyaratan ya tak ada cuma yg penting kerja rajin dan tanggung jawab",negeri umur kerjaselagi kuatpersyaratan kerja rajin tanggung
"Cari kerja susah,kalau ada pun banyak sekali persyaratan ya,harus ada tinggi badan,ada surat dari kepolisan berkelakuan baik",cari kerja susahkalau syarat yaharus badanada surat polis laku
"Wajarlah banyak yg kerja keluar negeri,diindonesia,biaya hidup mahal,gaji kecil,hukum diindonesia tak jelas,buktinya,tanah rakyat yg punya sertifikat bisa diambil oleh orang yg berkuasa,yg banyak duet",wajar kerja negeridiindonesiabiaya hidup mahalgaji kecilhukum indonesia jelasbuktinyatanah rakyat sertifikat ambil orang berkuasayang duet
"Udah lama tinggal di Luar Negeri, tiap pulang ke indo kayak ”kok kayak gini sih” dan sekarang lagi currently tinggal di Istanbul juga. Bener banget sih yang diomongin dari segi kesehariannya, pas pulang ke Indonesia kaget banget pas harus pergi ke suatu tempat dengan jarak cuman 1.5 km biasa jalan kaki di Istanbul tapi karena susah banget akhirnya putusin buat gojek, hal hal kayak gini juga yang keliatannya kecil tapi sebenernya impact nya kekehidupan keseharian kita cukup besar",tinggal negeri pulang indonesia kayak kayak currently tinggal istanbul banget diomongin segi pas pulang indonesia kaget banget pas pergi jarak cuman jalan kaki istanbul susah banget putusin gojek kayak lihat impact hidup
"Selagi konsumsi para pejabat nya masih bercokol pada paham arogansi, maka akan selama itu juga republik ini sulit lepas dari yg nama nya ""kisruh",konsumsi jabat cokol paham arogansi republik sulit lepas nama kisruh
"salah satu alasan gw selalu setia nonton kontennya bang raymond adalah krn gw menilai dia masih tidak berafiliasi dgn pemerintah (krn gw dipemerintahan) tapi gw berharap bang raymond ttp kaya gini, stay strong wlpn ga jadi staf2 atau lain2nya itulah ya, but itu kelebihanmu bang ❤",salah alas gue setia tonton konten raymond gue nilai afiliasi perintah gue perintah gue harap raymond kayak stay strong wlpn staf
"deep banget “kalau mau hidup susah, ayo kita fight bareng” Allah bantu kami",deep banget hidup susah ayo fight bareng allah bantu
Gila daging semua yg gw dapet dari sini. Entah itu tema politiknya maupun tema agamanya,gila daging gue tema politik tema agama
"Request bahas DANANTARA dong bang, apa manfaatnya untuk rakyat Indonesia khususnya kalangan bawah atau hanya menguntungkan kalangan atas saja terkhusus pejabat pemerintah",request bahas danantara manfaat rakyat indonesia khusus kalang untung kalang khusus jabat perintah
"Memang semua yang di lakukan pemerintah Indonesia itu ga ada yang jelas, yang jelas itu hanya untuk mereka. Makanya banyak yang kabur dari dulu dan selalu membandingkan dengan negara lain. Memang tinggal di negara orang itu gak enak kalau gak ada skill tapi semua jelas dan terjamin....",laku perintah indonesia kabur banding negara tinggal negara orang enak skil jamin
"Masyarakat menengah kebawah sudah muak dan mau muntah sama pemerintah dan para pejabatnya,,,sud hopeless,, siapapun pemerintahnya semakin hancuuuuuuur",masyarakat muak muntah perintah pejabatnyasudah hopeles perintah hancuuuuuuur
"Wajar aja kalau mereka mau kabur, yang gak habis pikir kalau SDM rendah yang mau kabur😂.... Makin banyak aja kabar wni yang terkena kasus",wajar kabur habis pikir sdm rendah kaburwajahgembiraberuraiairmata kabar wni kena
Aku kabur dari dulu  kerja di  Indonesia tidak  cukup untuk makan . Jadi aku dak punya presiden Jokowi dan Prabowo karena aku tidak pernah memilih mereka,kabur kerja indonesia makan indak presiden jokowi prabowo pilih
"Kabur aja, kan katanya jngn balik lg. Please pada bikib reviewnya kalo kalian berhasil diluar sana",kabur please bikib reviewnya hasil
Felix siauw itu suruh kabur ke suriah sana. 😂,felix siauw suruh kabur suriah wajahgembiraberuraiairmata
