Teks_Komentar,teks_final,sentiment
"Saya udah kabur 30 tahun dari indonesia, yang disayang kan indonesia memegang sistem 1 kewarganegaraan, jadi orang2 yang milih jadi warga negara lain harus lepas kewarga negara an Indonesia, moga2 bisa dirubah, supaya orang2 indonesia yang sudah tinggal di luar jadi warga negara laen, masi bisa pulang dan menetap di homeland in the future if a change happens in their life.",kabur indonesia sayang indonesia pegang sistem kewarganegaraan orang milih warga negara lepas warga negara indonesia moga rubah orang indonesia tinggal luar warga negara laen pulang homeland future change happens life,Positif
"YANG PASTI SUDAH TIDAK NASIONALIS ITU ADALAH PARA WAKIL RAKYAT DAN PARA BIROKRAT NEGERI KITA. APA ALASANNYA SEHINGGA MENYATAKAN SEPERT ITU (?) 1. Korupsi tidak sungguh sungguh untuk diatasi, ( jika memang sungguh sungguh berniat untuk memberantas KORUPSI, sehatusnya para KORUPTOR dihukum seberat beratnya, yaitu HUKUMAN MATI & PEMISKINAN PARA KORUPTOR.( Pengembalian Asset Negara ).  SUMBER DAYA ALAM NEGERI KITA ITU SANGAT KAYA, tapi tidak pernah dibukakan lapangan kerjanya. ( Bisa untuk Pertanian Rakyat atau Pertambangan Rakyat )  PAHLAWAN DI NEGERI YANG BOBROK AKAN DIANGGAP SEBAGAI PESAKITAN  seperti PELAKU KEJAHATAN .  Dan itu semua sudah terjadi di negeri kita; ( betapa bobroknya moral pembuat aturan & moral pengambil keputusan.)",tidak nasionalis wakil rakyat birokrat negeri alas nyata sepert korupsi tidak sungguh sungguh sungguh sungguh niat berantas korupsi sehatusnya koruptor hukum berat berat hukum mati miskin koruptor asset negara sumber daya alam negeri kaya tidak buka lapang kerja tani rakyat tambang rakyat pahlawan negeri bobrok anggap sakit laku jahat negeri betapa bobrok moral atur moral ambil putus,Positif
"Mau tapi.. Bukan gx bisa,bukan gx mampu Tapi gax ""boleh"" Emg gini di +62...  Kalo mau naik derajat mending kabur ajah dulu... kecuali loe org"" yg iq nya di atas rata""",tidak tidak tidak tidak gax gin derajat mending kabur kecuali org,Positif
"Perjuangan kita berat kawan, karena kita bukan melawan musuh dari luar, tetapi musuh saudara kita sendiri.",juang berat kawan tidak lawan musuh luar musuh saudara,Netral
Berbahagialah teuku firmansyah dan keluarganya yg bisa kabur duluan,bahagia teuku firmansyah keluarga kabur duluan,Positif
"Mau ganti presiden 100x kali, Indonesia masih gelap 😂",ganti presiden kali indonesia gelap,Positif
"Sistem tidak berjalan dengan baik ditambah oknum,  Tidak bisa ganti sistem,  Edukasi di ring luar dampak nya sangat kecil,  Kenapa ga coba masuk sistem dan membenahi peraturan dan berbagai hal lainnya dalam ketatanegaraan ,  Dengan gagasan inovasi representasi pemikiran koh Raymond dan ust felix untuk merubah Indonesia jadi lebih baik",sistem tidak jalan oknum tidak ganti sistem edukasi ring luar dampak tidak coba masuk sistem benah atur ketatanegaraan gagas inovasi representasi pikir koh raymond ust felix rubah indonesia,Negatif
Yg alling dtakutin imam ali bin abi thalib itu diamnya orang baik,alling dtakutin imam ali bin abi thalib diam orang,Netral
"Menurut saya ya, mau siapapun yang jadi presiden, Indonesia tuh tetep bakal kayak gini, kecuali sistem pemerintahan nya yang diubah",presiden indonesia gin kecuali sistem perintah ubah,Positif
"Kabur aja dulu, minimal duitnya.. males megang rupiah",kabur minimal duit males megang rupiah,Positif
how do i tell my parents about i need more space than Indonesia to upgrade my own self?,tell parents need space indonesia upgrade self,Positif
Wah gila iq gw nambah ini,gila,Netral
Org2 cerdas baik nya kabur ajah dlu Trus bikin lapangan krja di luar  Ajakin org2 yg cerdas lain nya Biar indonesia sepi  Agar para pejabat yg rakus makin kenyang,org cerdas kabur bikin lapang kerja luar ajakin org cerdas indonesia sepi jabat rakus kenyang,Positif
"indonesia terang benderang serab menyilaukan, penuh cahaya silau mén..",indonesia terang benderang serab silau penuh cahaya silau,Positif
"Mad respect for both of you, bukti nyata implikasi dari ""mencerdaskan kehidupan bangsa"", diskusi intelek semacam ini menjadi momok bagi mereka buzzer rezim etc. Stay healthy koh Ray dan ust Felix!",mad respect bukti nyata implikasi cerdas hidup bangsa diskusi intelek momok buzzer rezim etc stay healthy koh ray ust felix,Netral
"Aku pengen kerja yang layak dan adil, tapi pertanyaan nya dimana? Saya gak bisa kabur kemana2.. Bagaimana cara nya keadilan itu bisa ter aplikasi di sistem sekarang, karna virus2 itu sudah menjadi kanker yang mengakar.",ken kerja layak adil tidak kabur adil ter aplikasi sistem virus kanker akar,Positif
PEMAHAMAN / AQIDAH bila SESAT.......politik di bawa bawa ke AGAMA .,paham aqidah sesat politik bawa bawa agama,Netral
Ingat negara ada di kaki tangan penguasa Si A B C,negara ada kaki tangan kuasa,Positif
"Kalo orang yang udah percaya dan yakin. Mereka bukan takut mati, Tapi takut mati sia-sia.  - Raymond",orang percaya tidak takut mati takut mati sia sia raymond,Netral
Aku milih kabur aja dulu ya Krn mmng ngga puas SM keadaan di Indonesia buat cari kerja susah gajinya minim.apalagi buat aku yg berpendidikan rendah dan SDH menikah SDH berumur.kerja di LN gaji 1 BLN kalau kerja di Indonesia kerja 6bln 🤣🤣.kabur aja dulu demi kehidupanku masa depan anakku yg layak,milih kabur mmng tidak puas ada indonesia cari kerja susah gaji minim didik rendah meni umur kerja luar negeri gaji kerja indonesia kerja bln kabur hidup anak layak,Positif
"Ilmu pendidikan formal yg y begini hasilnya, merasa bisa memperbaiki keadaan, bahkan mahkluk, mengerikan ilmu2 formal begini, mereka hanya merasa bisa padahal faktanya yg merusak peradaban ialah orang2 yg berilmu (ilmu pendidikan formal) Indonesia sekarang adalah hasil produk pendidikan formal",ilmu didik formal hasil ada mahkluk keri ilmu formal fakta rusak adab orang beril ilmu didik formal indonesia hasil produk didik formal,Netral
"Gw yakin hal2 hebat yang kalian lakukan yang tulus untuk Indonesia, meskipun nggak akan membuat perubahan banyak , tapi dari perubahan2 kecil,  yang orang2 tonton disini akan jadi perubahan hebat nanti nya.  Gw ngga akan kabur, meskipun diindo memang sesulit ini. Salut bgt, meski taruhannya nyawa, kalian mempertaruhkan untuk banyak orang.  Semoga Allah SWT selalu melindungi orang2 baik🤲🤲🤲",hebat laku tulus indonesia tidak ubah ubah orang tonton ubah hebat tidak kabur diindo sulit salut bgt taruh nyawa taruh orang moga allah swt lindung orang,Negatif
"Bang Raymond LEBIH PANTAS DAN LEBIH LAYAK MENJADI WAKIL PRESIDEN REPUBLIK INDONESIA daripada anaknya pak jkw. Anda itu cerdas, Bang. Udah cerdas, good looking pula. 😁👍👍👍",raymond layak wakil presiden republik indonesia anak jkw cerdas cerdas good looking,Netral
Kedaulatan tertinggi di tangan rakyat Indonesia dr Sabang sampai Merauke !!!!!!!!!   Salam golput abadi,daulat tangan rakyat indonesia sabang merauke salam golput abadi,Netral
"Setuju. Inti akar masalahnya di keadilan yang penegakannya samgat kurang di negeri ini, yang mana sebelumnya udah jadi akar masalah bertahun tahun. Thank Raymond dan Ust Felix udah diskusi soal ini. Semoga semakin banyak influencer2 yang speak up soal ini yang nantinya bikin pemerintah BENAR BENAR berbenah diri. Saya salah satu orang yang kabur aja dulu dari 2023. Sebetulnya bukannya gak bisa bekerja di Indonesia, tetapi saya merasa ruang gerak saya untuk maju terbatas karena banyaknya corrupt system di negeri ini dan membuat saya bahkan dari jaman sekolah memang udah memikirkan buat kabur aja dulu supaya mengeksplor lebih banyak hal..  Tapi semoga kedepannya Indonesia semakin baik dan hukum beneran ditegakkan seadil2nya dan pro ke kepentingan rakyat..",setuju inti akar adil tega samgat negeri belum akar thank raymond ust felix diskusi moga influencer speak bikin pemerintah benah salah orang kabur bukan tidak kerja indonesia ruang gerak maju batas corrupt negeri jaman sekolah pikir kabur mengeksplor moga indonesia hukum beneran tegak adil pro rakyat,Positif
"Islam adalah agama paripurna, dan soalan politik pun sudah diatur di sana. Tentunya politik untuk meriayah umat, bukan malah sebaliknya.. Saatnya umat kembali pada fitrahnya, hidup dalam tatanan aturan yang bukan hanya berorientasi pada duniawi semata, namun juga ukhrawi.. Yukk, ngaji Islam kaffah biar nggak salah kaprah dan salah arah 😉☺️",islam agama paripurna politik atur politik meriayah umat tidak umat fitrah hidup tatanan atur tidak orientasi duniawi ukhrawi yukk ngaji islam kaffah tidak salah kaprah salah arah,Netral
Bagi yang punya modal  ✔️ kabur aja dulu Bagi yang gk punya modal ❌ misuh aja dulu  😂😅,modal kabur tidak modal misuh,Positif
"Nyatanya dari dulu orang indonesia sangat banyak kerja di luar negri,karna kerja di indonesia khususnya kaum menengah ke bawah sangat sulit  punya sisa buat nabung dari hasil kerja",nyata orang indonesia kerja luar negri karna kerja indonesia khusus kaum sulit sisa nabung hasil kerja,Positif
"Ingat kata2mu pak prabowo anda pernah bilang Indonesia bubar th 2030, sekarang anda pemimpin negeri ini, gejala Indonesia bubar sdh terlihat= korupsi dimana mana, PHK dimana mana, Indonesia gelap sudah mulai ke arah Indonesia bubar 2030",prabowo bilang indonesia bubar pimpin negeri gejala indonesia bubar lihat korupsi phk indonesia gelap arah indonesia bubar,Positif
"Memang Secara Fakta banyak orang sudah tahu, dan itu sudah dimulai dari zaman SBY, kalau hukum di indonesia itu lemah.  Hukum hanya membela yg bayar, dan sebagai alat politik. Tumpul ke orang kaya, kotuptor, pejabat tapi tajam ke rakyat kecil dan orang miskin.  Tapi anda bung remond hanya berani menyindir, indonesia gelap..emang pejabat dan koruptor dengan disindir sudah bisa sadar.  Kita rakyat kecil butuh generator utk membasmi para pejabat nakal dan koruptor, tidak usah banyak ngomong, jika ada hukum yg tidak berkeadilan langsung aja koordinasi kan demo besar2an. Misalnya nih..  1. Kasus Sambo memang viral, tapi awalnya vonis mati dan dirubah vonis seumur hidup ya pada diam. Dimana kamu bung remond yg kritis, dimana mahasiswa yg kritis.. Padahal kasus sambo itu bisa menyeret konsorsium judol yg melibatkan banyak jendral.. Kenapa kalian bisu semua, kenapa mahasiswa bisanya hanya menyalahkan presiden yg belum ketemu kasus korupsi dan kejahatannya..yg nyata2 sudah diadili dan tidak adil pada diam saja..siallll.  Tahu gak kasus sambo yg didiamkan akan memicu kejahatan selanjutnya, penjara seumur hidup diindinesia sama dengan kebebasan seumur hidup.. Penjara adalah milik para pejabat dan borjuis, dan bukan rahasia umum bahwa statusnya dipenjara tapi bisa keluyuran ke mana2.  2. Kasus novi setyanto Ketua DPR korup..apa yg dilakukan mahasiswa? Apakah demo besar2an? Demo besar 2an saya lihat hanya di kasus ahok yg terkesan dipolitisir.   3. Undang2 perampasan aset tidak  disahkan.  Apakah ada demo besar2an... Siall.. Kampret.. Gak ada..beraninya cuma ngomong indonesia gelap.. Tapi kejahatan dan ketidak adilan dibiarkan saja..  IBARAT KASARNYA NIH..: bung remond dan mahasiswa kritis: kalau ada maling didepan mata hanya melihat dan tidak berani nagkap atau gebukin, tapi jika malingnya udah lari.. Baru teriak... Malaing... Maling... Maling... Sialll..apa ada semua mau jadi pemuda2 lemah dalam cerita sejarah indonesia..  Saya belum subcribe karena, saya belum percaya dengan generasi muda saat ini.. Nyalinya ciut dan cengeng.. Beranianya cuma teriak2 aja..",fakta orang zaman sby hukum indonesia lemah hukum bela bayar alat politik tumpul orang kaya kotuptor jabat tajam rakyat orang miskin remond berani sindir indonesia gelap emang jabat koruptor sindir sadar rakyat butuh generator basmi jabat nakal koruptor tidak ngomong ada hukum tidak adil langsung koordinasi demo sambo viral vonis mati rubah vonis umur hidup diam remond kritis mahasiswa kritis sambo seret konsorsium judol libat jendral bisu mahasiswa salah presiden tidak ketemu korupsi jahat nyata adil tidak adil diam siallll tidak sambo diam picu jahat penjara umur hidup diindinesia bebas umur hidup penjara milik jabat borjuis tidak rahasia status penjara keluyur novi setyanto ketua dpr korup laku mahasiswa demo demo lihat ahok kes dipolitisir undang ampas aset tidak sah ada demo siall kampret tidak ada berani ngomong indonesia gelap jahat tidak adil kasar remond mahasiswa kritis ada maling mata lihat tidak berani nagkap gebukin maling lari teriak malaing maling maling sialll ada pemuda lemah cerita sejarah indonesia tidak subcribe tidak percaya generasi muda nyali ciut cengeng beranianya teriak aja,Negatif
"Bung raymond ini ingin mencerdaskan orang indonesia dan mayoritas mudah teroengaruh, saran saya dan sekalian diperbaiki: 1. Pakai bahasa sederhana.  2. Speed video dan tampilan gambar terlalu cepat, tempo bicara juga terlalu cepat.  3. Menjelaskan gambar harus rinci penjelasannya.  Untuk menjadi guru yg bicaranya mudah dipahami oleh semua tingkat strata pendidikan harus mengukuti tempo minimal sedang.  Tempo anda terlalu cepat, memang video itu bisa diperlambat, tapi kadang untuk menarik perhatian subcriber baru, harus tekesan gampang dipahami diawal, dan kalau sudah paham akan menonoton semua video anda..",raymond cerdas orang indonesia mayoritas mudah teroengaruh saran pakai bahasa sederhana speed video tampil gambar cepat tempo bicara cepat jelas gambar rinci jelas guru bicara mudah paham tingkat strata didik mengukuti tempo minimal tempo cepat video lambat kadang tarik perhati subcriber tekesan gampang paham paham menonoton video,Netral
Orang yg kerja di luar negeri kan menyumbang devisa negara juga jadi letak ga Nasionalisnya dimana?,orang kerja luar negeri sumbang devisa negara letak tidak nasionalis,Positif
Sebaiknya jangan kabur dulu. Lawan aja dulu. Karena jumlahnya yg tak puas kan sebetulnya banyak. Maka LAWAN AJA DULU.,tidak kabur lawan puas lawan,Negatif
"Orang pintar (1)  kalah sama orang yg memiliki (2) uang, koneksi kedalam, dan muka tembok., lihat saja hasil test PTN, CPNS dll. Mereka yg secara akademis memiliki potensi terbaik justru kalah sama orang² dipoint kedua. Org pintar disingkirkan dg berbagai alasan yg bahkan sgt tdk logis dan sangat² deskriminatif misalnya saja TB kurang 0.5 cm, sekalipun lu pintar dan potensial akan ttp disingkirkan. Jadilah negara ini dipimpin oleh mereka yg memiliki IPK rendah atau bahkan dari kampus mana ia memperoleh ijazahnya saja patut dipertanyakan 😂",orang pintar kalah orang milik uang koneksi muka tembok lihat hasil test ptn cpns dll akademis milik potensi kalah orang point orang pintar singkir alas tidak logis deskriminatif pintar potensial singkir negara pimpin milik ipk rendah kampus ijazah patut,Positif
"Di indo pungli dimana 2, semrawut 😢",indo pungli semrawut,Positif
Seandainya di Indonesia ini di kontrol sosial medianya mana yg edukasi yg bisa merubah mensetnya ketimbang tontonan orang gak but tidak ada ide atau mengedukasi,indonesia kontrol sosial media edukasi rubah set ketimbang tonton orang tidak tidak ada ide edukasi,Positif
Benar sekali inti masalah Indonesia adalah tidak adanya kepastian keadilan di semua aspek kehidupan,inti indonesia tidak ada adil aspek hidup,Positif
Kalau hukum tidak berjln semestinya hukum semua gk akan berubah .benar kata ustadz keadilan klu itu belum terjadi maka akan selamanya indonesia begini2 aja mungkin tambah buruk,hukum tidak berjln mesti hukum tidak ubah ustadz adil tidak indonesia buruk,Positif
"Semoga Allah melindungi generasi muda dan rakyat Indonesia dan muslimin muslimat di seluruh dunia dari kesulitan, semakin gelap   akan datangnya fajar kebangkitan Islam agar semua sejahtera  InsyaAllah Alhamdulillah Aamiin Allohumma Aamiin ❤",moga allah lindung generasi muda rakyat indonesia muslimin muslimat dunia sulit gelap fajar bangkit islam sejahtera insyaallah alhamdulillah allohumma,Negatif
"Pernahkah mendengar fenomena Tan Malaka? Kabur aja dulu..berjuang di negeri manca, tragis.. pulang"" tewas di negeri yg diperjuangkn utk kemerdekaan dr penjajahan. Tewas ditembak mati oleh tentara republik..bukan belanda",dengar fenomena tan malaka kabur juang negeri manca tragis pulang tewas negeri diperjuangkn merdeka jajah tewas tembak mati tentara republik tidak belanda,Positif
Mau kabur kemana..? Singapura-kah atau ke Beijing minta *suaka politik*..,kabur singapura kah beijing suaka politik,Negatif
"Anime Chi banget si.. Gak takut mati, tapi takut mati sia2",anime chi banget tidak takut mati takut mati sia,Netral
"Enak banget ya liat komenan disini, penuh dengan orang-orang yg melek politik dan juga keliatan teredukasi. Gue ngomen di ig yt postingan ny 3 pilar sby, Jokowi, Prabowo lagi nyanyi bareng. Terus gue bilang wah lihatlah ekspresi kebahagiaan yang ditunjukkan orang-orang di video ini sungguh berbeda sekali dengan apa yang gue liat di masyarakatnya. Behh langsung disangka buzzer😂 disuruh kerja lah, makannya kerja. Lah dikira kerjaan gue cuman ngetik sambil rebahan doang apa. Gue sadar dah sekacau itu pola pikir mereka, mereka semua ngiranya idup mereka baik-baik aja dan Indonesia dari dulu baik-baik aja🔥🔥🔥",enak banget lihat komenan penuh orang orang melek politik liat edukasi ngomen instagram postingan pilar sby jokowi prabowo nyanyi bareng bilang lihat ekspresi bahagia orang orang video sungguh beda lihat masyarakat behh langsung sangka buzzer suruh kerja kerja kerja etik rebah sadar kacau pola pikir ngiranya hidup indonesia aja,Positif
Aku klau misal kenegara arab atau mlysia mau,negara arab mlysia,Positif
"kalo ada pemerintah ngatain TKI ga nasionalis tp masih berharap devisa, itu another lv of comedy",ada pemerintah ngatai tki tidak nasionalis harap devisa another comedy,Positif
Mau banget ikut ke luar negeri tapi ga ada modal dan chanel,banget luar negeri tidak ada modal channel,Positif
"Saya hanya percaya 5 pejabat yang bersih, jujur, bijaksana, tegas dan berani melawan mafia di indonesia ini. Mereka adalah Basuki Tjahja Purnama (Ahok), Susi Pudjiastuti, Ignasius Jonan, Risma Tri Maharani, dan Dr Agus Terawan.",percaya jabat bersih jujur bijaksana berani lawan mafia indonesia basuki tjahja purnama ahok sus pudjiastuti ignasius jonan risma tri maharani agus awan,Negatif
"Seandainya bisa kabur aja, aq pengen banget kerja di luar negeri. Gelar S1 di Indonesia ini, cuma jadi tenaga kontrak..sekarang malah dirumahkan karena efisiensi.  Tak ada pemasukan, kebutuhan harus dipenuhi, dan anak istri harus makan😢",kabur aja ken banget kerja luar negeri gelar indonesia tenaga kontrak rumah efisiensi ada pasu butuh penuh anak istri makan,Positif
"Gue… ga ada opsi buat kabur pula, keluar rumah aja ga boleh sama istri gue",gue tidak ada opsi kabur rumah tidak istri,Positif
PEMERINTAH INDONESIA SEPERTI PEMERINTAH DI DUNIA ONE PIECE,pemerintah indonesia pemerintah dunia one piece,Positif
Gue kemarin ke thailand aja balik indo “misuh”,kemarin thailand indo misuh,Positif
"""KEADILAN"" adalah sesuatu yang sangat luxurious di Indonesia,hal ini bisa tercapai apabila ""sapu"" yang dipergunakan untuk ""bersih-bersih"" sebelumnya dibersihkan dulu dengan mengunakan metode ""pembuktian terbalik"" terhadap kekayaan yang dimiliki  dan atau dilaporkan di LHKPN....",adil luxurious indonesia capai sapu bersih bersih belum bersih mengunakan metode bukti hadap kaya milik lapor lhkpn,Positif
"Contoh pak BJ Habibi, dia belajar di Jerman kemudian sangat dibutuhkan di sana tapi pak Habibi milih pulang tapi di Negaranya sendiri gak diberi peluang, ya di beri peluang jadi menteri tapi bukan itu maksudnya tapi bagaimana pak Habibi itu bisa mengembangkan ilmunya seperti Jepang para profesor diberi kesempatan berkembang oleh negara, maka setelah di bom atom di dua kota, mereka bisa bangkit sampai sekarang",contoh habibi ajar jerman butuh habibi milih pulang negara tidak peluang peluang menteri tidak maksud habibi kembang ilmu jepang profesor kembang negara bom atom kota bangkit,Positif
"Harusnya makin banyak anak muda yang seperti ini, (bukan anak muda yang dicariin kerja sama bapaknya, gaji gede kerjanya keliling keliling dowang)",anak muda tidak anak muda dicariin kerja gaji kerja keliling keliling dowang,Negatif
Kok sekarang gua ngerasa gak ngakui kalau Wiwi dan Wowo pernah jadi pemimpin negara ya. 🤮🤮🤮,tidak wiwi wowo pimpin negara,Positif
Jika semua itu benar adanya...apa yang harus dilakukan?apa harus begini terus berada dalam situasi yang tidak menentu...kesenjangan makin terpampang nyata.... astagfirullah,ada laku ada situasi tidak senjang pampang nyata astagfirullah,Positif
"masyarakat yg baik dibutuhkan pemerintahan yg baik kebijakan pemerintah yg baik dibutuhkan masyarakat yg baik coba liat indonesia sekarang dari bawah sampe atas aja banyak mines susah mau maju nyaa,  luar negeri gak ada pedagang pinggir jalan, di indonesia banyak kalo di usir di bilang gak adil pemerintah di luar banyak dengan UMR tinggi dan syarat pekerjaan gak ribet  plus mines aja sih, kalo miskin yaa jngn nyalahin pemerintah terus, pemerintah juga cari cara buat nangaanin pejabat2 nakal",masyarakat butuh perintah bijak pemerintah butuh masyarakat coba lihat indonesia mes susah maju nyaa luar negeri tidak ada dagang pinggir jalan indonesia usir bilang tidak adil pemerintah luar umr syarat kerja tidak ribet plus mes miskin tidak nyalahin pemerintah pemerintah cari nangaanin jabat nakal,Negatif
"Kabur aja dulu.bentuk frustasi rakyat kepada pemerintah,tpi pemerintah bukan ny berbenah malah nyari pembelaan",kabur bentuk frustasi rakyat pemerintah tpi pemerintah tidak benah nyari bela,Positif
"Rakyat gak butuh kata2 tapi bukti nyata, kekayaan negara adalah milik rakyat bukan pejabat!buat apa kementerian tenaga kerja jika tidak mampu menyediakan lapangan kerja untuk warga nya? jangan sampai rakyat menderita lalu menyalahkan takdir tuhan",rakyat tidak butuh bukti nyata kaya negara milik rakyat tidak jabat menteri tenaga kerja tidak sedia lapang kerja warga tidak rakyat derita salah takdir tuhan,Negatif
"Rakyat mah udh ngasih pajak ke negara bhkn penjual aja sepi msh di kejar2 pajak.nah pejabat udh ngasih apa ke negara dan rakyat???pdhl mkn dan gaji  dr pajak, apa2 smua dr pajak.",rakyat pajak negara bhkn jual sepi kejar pajak jabat negara rakyat pdhl makan gaji pajak pajak,Positif
"Dulu aja chindo pada dukung pemerintahan Pak jokowi sejak periode 2014, sampai bela mati2an... sekarang 10th berjalan gimana KENYATAANNYA ????😂😂😂",chindo dukung perintah jokowi periode bela mati jalan gimana nyata,Positif
Thanks ya bro. Makasih udah jadi gardu depan. Makasih udah tetap setia sama rakyat untuk Indonesia lebih baik. Gw yang pernah berkarir politik di masa muda dan cabut karena lihat kekotoran dibalik itu merasa tergugah. Hati yang Apatis ini pengen berteriak dan bilang.  Makasih. I stand with you😊,thanks makasih gardu makasih setia rakyat indonesia berkarir politik muda cabut lihat kotor gugah hati apatis ken teriak bilang makasih stand,Negatif
"Sejak tahun 82 banyak teman yang dapat beasiswa luar mereka hingga tua kini menetap di LN meskipun tetap WNI. teman ex rektor UGM pulang ke Indonesia malah ga punya jabatan, sebelum ke US dia seorang dekan pulang dosen biasa begitu juga dengan pak Sofyan yg terakhir jadi rektor UGM di era Habibie.",teman beasiswa luar tua luar negeri wni teman rektor ugm pulang indonesia tidak jabat belum orang dekan pulang dosen sofyan rektor ugm era habibie,Positif
Aku aja dah kabur karna dinegaraku sendiri tidak merasakan kemakmuran,kabur negara tidak makmur,Positif
"Nah bener ketika kita udah ga punya pilihan mau bertahan tapi tidak ada solusi mau kabur aja dulu tapi tidak mampu ujung ujung nya stuck, saya baru resign karena ya kerja dapat 12 jam kadang lebih gaji 50ribu perhari. Pingin nya cari yang lebih baik udah apply di beberapa tempat tapi sudah kepanggil satu tapi gagal di terima karena kurang tinggi dan mata aku minus (berkaca mata) dengan lulusan smk aku tidak berharap lebih mau nyari kerja sesusah itu dengan tinggi badan yang rendah. Apalagi sekarang ada tanggungan jadi nya bingung arah nya gimana.",bener tidak pilih tahan tidak ada solusi kabur tidak ujung ujung stuck resign kerja jam kadang gaji ribu pingin cari apply panggil gagal terima mata minus kaca mata lulus smk tidak harap nyari kerja susah badan rendah ada tanggung bingung arah gimana,Positif
2 org ini memang Luar biasa 👍👍👍 semoga mereka adl bagian dari perubahan memajukan bangsa Indonesia,orang luar moga ubah maju bangsa indonesia,Negatif
"Keadilan, quality of life, susahx bangun bisnis krn regulasi yg mbulet dan ruwet hal"" itulah yg membuat orang"" memutuskan perubahan secara individu. Lha wong nunggu pemerintah melakukan perubahan yg ada bukan menjadi lebih haik tp makin buruk dan terpuruk.",adil quality life susahx bangun bisnis regulasi mbulet ruwet orang putus ubah individu lha tunggu pemerintah laku ubah ada tidak haik buruk puruk,Positif
ini omongan cerdas... dan para cerdas Indonesia saat ini di bully.. oleh penguasa negara yang mempertahankan kekuasaan dengan menggunakan buzzerp sejak si super licik joko widodo yg juga si penipu berijazah palsu..,omong cerdas cerdas indonesia bully kuasa negara tahan kuasa buzzerp super licik joko widodo tipu ijazah palsu,Positif
2014 melek politik smpe skrg cara curang para iblis sama,melek politik curang iblis,Positif
